Age;Gender;Education Level;Job Title;Years of Experience;Salary
31;0;0;0;4;55000
36;0;0;1;8;45000
39;0;0;1;10;55000
24;0;0;2;1;60000
29;0;0;2;3;85000
24;0;0;2;1;60000
23;0;0;2;1;55000
24;0;0;2;1;60000
24;0;0;2;1;60000
27;0;0;2;3;80000
27;0;0;2;3;80000
49;0;0;2;19;120177
35;0;0;2;10;114776
49;0;0;2;19;120177
35;0;0;2;10;114776
46;0;0;2;19;150248
24;0;0;2;1;61095
46;0;0;2;19;150729
46;0;0;2;18;155795
46;0;0;2;18;155795
46;0;0;2;19;150729
46;0;0;2;18;155795
46;0;0;2;18;155795
46;0;0;2;19;150729
28;0;0;2;5;77766
22;0;1;2;0;51832
22;0;1;2;0;51832
23;0;1;2;2;62807
23;0;1;2;1;52807
23;0;1;2;1;52807
23;0;1;2;1;52807
33;0;2;2;5;110000
26;0;2;2;3;90000
26;0;2;2;2;70000
26;0;2;2;3;90000
24;0;2;2;1;60000
25;0;2;2;2;75000
38;0;2;2;10;155000
30;0;2;2;6;130000
27;0;2;2;2;70000
28;0;2;2;3;90000
27;0;2;2;2;70000
27;0;2;2;2;70000
30;0;2;2;6;130000
28;0;2;2;3;90000
27;0;2;2;2;65000
38;0;2;2;10;155000
27;0;2;2;2;70000
27;0;2;2;2;70000
27;0;2;2;2;70000
27;0;2;2;2;70000
27;0;2;2;2;70000
27;0;2;2;2;70000
38;0;2;2;10;155000
27;0;2;2;2;70000
27;0;2;2;2;70000
27;0;2;2;2;70000
27;0;2;2;2;70000
29;0;2;2;3;90000
29;0;2;2;3;90000
29;0;2;2;3;90000
29;0;2;2;3;90000
29;0;2;2;3;90000
29;0;2;2;3;90000
29;0;2;2;3;90000
27;0;2;2;4;73938
27;0;2;2;4;73938
33;0;2;2;9;124141
32;1;0;2;4;95000
23;1;0;2;1;55000
30;1;0;2;4;95000
30;1;0;2;4;95000
30;1;0;2;4;95000
26;1;0;2;2;65000
30;1;0;2;4;95000
24;1;0;2;1;55000
27;1;0;2;2;75000
34;1;0;2;6;120000
24;1;0;2;1;55000
24;1;0;2;1;55000
28;1;0;2;2;70000
27;1;0;2;3;85000
35;1;0;2;8;140000
27;1;0;2;3;85000
35;1;0;2;8;140000
27;1;0;2;3;85000
35;1;0;2;8;140000
27;1;0;2;3;85000
35;1;0;2;8;140000
27;1;0;2;3;85000
35;1;0;2;8;140000
27;1;0;2;3;85000
35;1;0;2;8;140000
29;1;0;2;4;95000
30;1;0;2;5;100000
30;1;0;2;5;100000
30;1;0;2;5;100000
30;1;0;2;5;100000
30;1;0;2;5;100000
30;1;0;2;5;100000
30;1;0;2;5;100000
30;1;0;2;5;100000
30;1;0;2;5;100000
30;1;0;2;5;100000
30;1;0;2;5;100000
27;1;0;2;3;80000
30;1;0;2;5;100000
27;1;0;2;3;80000
30;1;0;2;5;100000
27;1;0;2;3;80000
30;1;0;2;5;100000
27;1;0;2;3;80000
30;1;0;2;5;100000
27;1;0;2;3;80000
30;1;0;2;5;100000
27;1;0;2;3;80000
30;1;0;2;5;100000
27;1;0;2;3;80000
30;1;0;2;5;100000
27;1;0;2;3;80000
30;1;0;2;5;100000
27;1;0;2;3;80000
30;1;0;2;5;100000
27;1;0;2;3;80000
30;1;0;2;5;100000
27;1;0;2;3;80000
30;1;0;2;5;100000
27;1;0;2;3;80000
30;1;0;2;5;100000
27;1;0;2;3;80000
30;1;0;2;5;100000
27;1;0;2;3;80000
26;1;0;2;2;65000
27;1;0;2;3;80000
30;1;0;2;5;100000
27;1;0;2;3;80000
30;1;0;2;5;100000
27;1;0;2;3;80000
31;1;0;2;6;95000
26;1;0;2;2;65000
27;1;0;2;3;80000
30;1;0;2;5;100000
